12345;fanin         ;valerie     ;Martigny;268978765.00;charpentier   
23456;droz          ;fabrice     ;Lausanne;213454327.00;informaticien 
34567;perrochon     ;martine     ;Geneve;227687654.00;decorateur    
45678;nerima        ;luka        ;Renens;213432123.00;linguiste     
56789;pugin         ;laurent     ;Lausanne;216790980.00;physicien     
67890;simon         ;christina   ;Geneve;227878676.00;economiste    
78901;olgiati       ;fabienne    ;Sion;279897654.00;informaticien 
89012;wehrli        ;eric        ;Chamoson;276567980.00;gestionnaire  
90123;kohler        ;paul        ;Geneve;223234567.00;gestionnaire  
10987;markovic      ;sladjana    ;Thonex;223215436.00;violoniste    
84545;belbachir     ;boualem     ;Prilly;213434356.00;informaticien 
45459;gaudinat      ;arnaud      ;geneve;213777356.00;informaticien 
